Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2001-01-20,2003-01-19,31.78,2001-01-26,22.22,2003-01-17,Republican,Republican,Democratic,Energy,-30.08181246066709
2003-01-20,2005-01-19,21.32,2003-01-24,36.46,2005-01-14,Republican,Republican,Republican,Energy,71.01313320825517
2005-01-20,2007-01-19,36.4,2005-01-21,56.58,2007-01-19,Republican,Republican,Republican,Energy,55.439560439560445
2007-01-20,2009-01-19,56.85,2007-01-26,46.54,2009-01-16,Republican,Democratic,Democratic,Energy,-18.13544415127529
2009-01-20,2011-01-19,47.06,2009-01-23,70.65,2011-01-14,Democratic,Democratic,Democratic,Energy,50.127496812579686
2011-01-20,2013-01-19,70.1,2011-01-21,75.49,2013-01-18,Democratic,Republican,Democratic,Energy,7.68901569186876
2013-01-20,2015-01-19,76.89,2013-01-25,75.23,2015-01-16,Democratic,Republican,Democratic,Energy,-2.1589283391858456
2015-01-20,2017-01-19,76.66,2015-01-23,74.38,2017-01-13,Democratic,Republican,Republican,Energy,-2.974171667101489
2017-01-20,2019-01-19,74.54,2017-01-20,63.84,2019-01-18,Republican,Republican,Republican,Energy,-14.354708881137645
2019-01-20,2021-01-19,62.93,2019-01-25,42.75,2021-01-15,Republican,Democratic,Republican,Energy,-32.067376450023836
2021-01-20,2023-01-19,42.07,2021-01-22,89.95,2023-01-13,Democratic,Democratic,Democratic,Energy,113.81031613976707
2023-01-20,2025-01-19,90.48,2023-01-20,91.02,2024-12-06,Democratic,Republican,Democratic,Energy,0.5968169761273121
